task_id,timestamp,agent,workflow_type,confidence,amount,vendor_id,vendor_type,risk_level,human_reviewed,ai_decision,final_decision,correct,processing_time_seconds,exception_type
T-00001,2026-02-22 00:00:13,Accounts Payable AI,po_invoice,0.982,49390.14,V-0347,existing,low,False,approve,approve,True,14,none
T-00002,2026-02-22 00:03:25,Accounts Payable AI,po_invoice,0.9642,16669.11,V-0178,existing,low,False,approve,approve,True,26,none
T-00003,2026-02-22 00:32:33,Accounts Payable AI,po_invoice,0.9894,28454.07,V-0390,existing,low,False,approve,approve,True,51,none
T-00004,2026-02-22 01:10:16,Accounts Payable AI,standard_invoice,0.9177,15556.71,NV-0035,new,medium,True,approve,approve,True,773,none
T-00005,2026-02-22 01:21:57,Accounts Payable AI,po_invoice,0.9048,18588.06,NV-0031,new,medium,True,approve,approve,True,399,none
T-00006,2026-02-22 01:24:32,Accounts Payable AI,standard_invoice,0.9444,64275.65,V-0267,existing,low,False,approve,approve,True,6,none
T-00007,2026-02-22 01:40:58,Accounts Payable AI,po_invoice,0.9969,87540.37,V-0109,existing,medium,False,approve,approve,True,30,none
T-00008,2026-02-22 01:48:11,Accounts Payable AI,po_invoice,0.9314,96667.94,V-0387,existing,medium,False,approve,approve,True,52,price_mismatch
T-00009,2026-02-22 01:48:39,Accounts Payable AI,non_po_invoice,0.973,27058.08,V-0163,existing,medium,True,approve,approve,True,114,contract_mismatch
T-00010,2026-02-22 01:57:09,Accounts Payable AI,non_po_invoice,0.9654,30947.96,V-0289,existing,low,False,approve,approve,True,15,none
T-00011,2026-02-22 02:07:11,Accounts Payable AI,po_invoice,0.9327,71564.11,V-0329,existing,low,False,reject,reject,True,41,none
T-00012,2026-02-22 02:15:12,Accounts Payable AI,po_invoice,0.9558,27666.1,V-0088,existing,low,False,approve,approve,True,26,none
T-00013,2026-02-22 02:28:04,Accounts Payable AI,po_invoice,0.9625,24970.37,V-0091,existing,low,False,approve,approve,True,34,none
T-00014,2026-02-22 02:28:50,Accounts Payable AI,po_invoice,0.968,15566.05,V-0201,existing,low,False,approve,approve,True,19,none
T-00015,2026-02-22 02:47:24,Accounts Payable AI,po_invoice,0.9294,22001.12,NV-0024,new,medium,True,reject,reject,True,206,none
T-00016,2026-02-22 03:04:43,Accounts Payable AI,standard_invoice,0.9715,79817.62,V-0280,existing,medium,False,reject,reject,True,22,none
T-00017,2026-02-22 03:08:40,Accounts Payable AI,po_invoice,0.9612,16781.5,V-0061,existing,low,False,approve,approve,True,16,none
T-00018,2026-02-22 03:34:55,Accounts Payable AI,po_invoice,0.9705,28530.67,V-0190,existing,low,True,approve,approve,True,233,none
T-00019,2026-02-22 04:01:22,Accounts Payable AI,po_invoice,0.9625,23133.26,V-0095,existing,low,False,approve,approve,True,49,none
T-00020,2026-02-22 04:08:59,Accounts Payable AI,po_invoice,0.9588,24236.02,V-0289,existing,low,True,reject,reject,True,727,missing_approval
T-00021,2026-02-22 04:14:11,Accounts Payable AI,non_po_invoice,0.9237,36385.26,V-0215,existing,low,False,approve,approve,True,54,none
T-00022,2026-02-22 04:18:01,Accounts Payable AI,po_invoice,0.9703,11159.82,V-0052,existing,low,False,reject,reject,True,21,none
T-00023,2026-02-22 04:18:40,Accounts Payable AI,po_invoice,0.8724,27692.92,NV-0052,new,medium,True,approve,approve,True,213,missing_approval
T-00024,2026-02-22 04:29:10,Accounts Payable AI,standard_invoice,0.99,46647.52,V-0365,existing,low,False,approve,approve,True,61,none
T-00025,2026-02-22 04:30:35,Accounts Payable AI,po_invoice,0.9729,31061.05,V-0347,existing,low,False,approve,approve,True,23,none
T-00026,2026-02-22 04:34:11,Accounts Payable AI,po_invoice,0.9657,32895.19,V-0176,existing,medium,True,reject,reject,True,253,duplicate_invoice
T-00027,2026-02-22 04:38:13,Accounts Payable AI,po_invoice,0.9981,71266.09,V-0275,existing,low,False,approve,approve,True,23,none
T-00028,2026-02-22 04:44:38,Accounts Payable AI,po_invoice,0.9278,14096.95,V-0013,existing,low,False,approve,approve,True,35,none
T-00029,2026-02-22 05:21:23,Accounts Payable AI,po_invoice,0.9438,6613.74,V-0365,existing,medium,True,reject,reject,True,337,contract_mismatch
T-00030,2026-02-22 05:25:06,Accounts Payable AI,po_invoice,0.9575,31480.85,V-0099,existing,low,False,approve,approve,True,43,none
T-00031,2026-02-22 05:31:59,Accounts Payable AI,po_invoice,0.997,95816.62,V-0280,existing,medium,False,approve,approve,True,13,none
T-00032,2026-02-22 05:36:12,Accounts Payable AI,standard_invoice,0.8822,57309.81,NV-0022,new,medium,True,approve,approve,True,182,none
T-00033,2026-02-22 05:50:56,Accounts Payable AI,po_invoice,0.953,118937.48,NV-0105,new,high,True,approve,approve,True,313,none
T-00034,2026-02-22 05:50:56,Accounts Payable AI,po_invoice,0.9375,52085.91,V-0039,existing,low,False,reject,reject,True,23,none
T-00035,2026-02-22 05:51:53,Accounts Payable AI,standard_invoice,0.903,36883.24,V-0146,existing,low,False,approve,approve,True,47,none
T-00036,2026-02-22 06:40:04,Accounts Payable AI,po_invoice,0.9183,14871.9,V-0329,existing,low,True,approve,approve,True,415,none
T-00037,2026-02-22 06:43:07,Accounts Payable AI,non_po_invoice,0.9603,7837.32,V-0099,existing,low,False,approve,approve,True,25,none
T-00038,2026-02-22 06:49:28,Accounts Payable AI,po_invoice,0.9526,32232.38,V-0396,existing,low,False,approve,approve,True,73,missing_po
T-00039,2026-02-22 07:05:03,Accounts Payable AI,po_invoice,0.9366,39158.31,V-0106,existing,low,True,approve,approve,True,272,missing_approval
T-00040,2026-02-22 07:12:50,Accounts Payable AI,standard_invoice,0.9416,65204.71,V-0034,existing,low,False,approve,approve,True,12,none
T-00041,2026-02-22 07:13:04,Accounts Payable AI,po_invoice,0.9886,18791.06,V-0193,existing,low,False,approve,approve,True,16,none
T-00042,2026-02-22 07:29:30,Accounts Payable AI,po_invoice,0.9448,37277.84,V-0021,existing,low,False,approve,approve,True,23,none
T-00043,2026-02-22 08:08:39,Accounts Payable AI,non_po_invoice,0.9088,52505.71,V-0117,existing,low,False,approve,approve,True,23,none
T-00044,2026-02-22 08:12:28,Accounts Payable AI,po_invoice,0.9813,25876.48,V-0030,existing,low,False,approve,approve,True,11,none
T-00045,2026-02-22 08:22:57,Accounts Payable AI,standard_invoice,0.8634,23878.89,V-0161,existing,low,True,approve,approve,True,376,missing_po
T-00046,2026-02-22 08:44:04,Accounts Payable AI,standard_invoice,0.9163,40959.73,V-0009,existing,low,False,approve,approve,True,123,missing_po
T-00047,2026-02-22 09:17:16,Accounts Payable AI,po_invoice,0.9774,51937.44,V-0096,existing,low,False,approve,approve,True,23,none
T-00048,2026-02-22 09:42:35,Accounts Payable AI,non_po_invoice,0.9154,48051.4,V-0288,existing,low,False,approve,approve,True,32,none
T-00049,2026-02-22 09:44:13,Accounts Payable AI,standard_invoice,0.9488,19586.33,V-0381,existing,low,False,approve,approve,True,45,none
T-00050,2026-02-22 09:48:40,Accounts Payable AI,standard_invoice,0.9608,60239.27,V-0013,existing,low,False,approve,approve,True,14,none
T-00051,2026-02-22 09:48:41,Accounts Payable AI,po_invoice,0.9728,5494.9,V-0293,existing,low,False,approve,approve,True,18,none
T-00052,2026-02-22 10:01:45,Accounts Payable AI,standard_invoice,0.9867,66593.9,V-0062,existing,low,False,approve,approve,True,24,none
T-00053,2026-02-22 10:22:09,Accounts Payable AI,po_invoice,0.9898,28375.53,V-0048,existing,low,False,approve,approve,True,10,none
T-00054,2026-02-22 10:27:39,Accounts Payable AI,non_po_invoice,0.8994,10144.49,V-0086,existing,low,True,approve,approve,True,549,missing_approval
T-00055,2026-02-22 10:28:30,Accounts Payable AI,po_invoice,0.987,9719.77,V-0347,existing,low,False,approve,approve,True,21,none
T-00056,2026-02-22 10:28:57,Accounts Payable AI,po_invoice,0.9933,29097.13,V-0377,existing,low,False,approve,approve,True,18,none
T-00057,2026-02-22 10:35:46,Accounts Payable AI,standard_invoice,0.9088,43318.11,V-0291,existing,low,False,approve,approve,True,25,none
T-00058,2026-02-22 10:45:50,Accounts Payable AI,po_invoice,0.9688,22285.23,V-0246,existing,low,False,approve,approve,True,24,none
T-00059,2026-02-22 11:12:05,Accounts Payable AI,po_invoice,0.9706,64031.95,V-0188,existing,low,False,approve,approve,True,13,none
T-00060,2026-02-22 11:21:24,Accounts Payable AI,non_po_invoice,0.9677,6760.35,V-0267,existing,low,False,approve,approve,True,27,none
T-00061,2026-02-22 11:45:37,Accounts Payable AI,non_po_invoice,0.9697,49516.57,V-0204,existing,low,False,approve,approve,True,10,none
T-00062,2026-02-22 12:01:34,Accounts Payable AI,po_invoice,0.8784,54305.52,NV-0145,new,medium,True,reject,reject,True,403,none
T-00063,2026-02-22 12:23:11,Accounts Payable AI,non_po_invoice,0.962,67836.85,V-0364,existing,low,False,approve,approve,True,13,none
T-00064,2026-02-22 12:28:22,Accounts Payable AI,non_po_invoice,0.9677,41695.0,NV-0128,new,medium,False,approve,approve,True,25,none
T-00065,2026-02-22 12:45:08,Accounts Payable AI,standard_invoice,0.9551,56617.83,V-0270,existing,low,False,approve,approve,True,26,none
T-00066,2026-02-22 12:54:02,Accounts Payable AI,po_invoice,0.9975,5198.66,V-0028,existing,low,False,approve,approve,True,38,none
T-00067,2026-02-22 13:01:01,Accounts Payable AI,standard_invoice,0.9805,22641.93,V-0119,existing,low,False,approve,approve,True,24,none
